planning_area,single,married,widowed,divorced,year,gender
Mandai,0,0,0,0,2020,Male
Mandai,0,0,0,0,2020,Female
Marine Parade,5193,11161,356,698,2020,Male
Marine Parade,6501,11205,2172,1161,2020,Female
North-Eastern Islands,0,0,0,0,2020,Male
North-Eastern Islands,0,0,0,0,2020,Female
Novena,6058,11827,399,676,2020,Male
Novena,6172,11909,2045,1109,2020,Female
Pasir Ris,22645,38531,737,1440,2020,Male
Pasir Ris,21691,38589,3893,2708,2020,Female
Paya Lebar,0,0,0,0,2020,Male
Paya Lebar,0,0,0,0,2020,Female
River Valley,1041,2681,39,145,2020,Male
River Valley,1333,2686,266,228,2020,Female
Rochor,0,0,0,0,2020,Male
Rochor,0,0,0,0,2020,Female
Singapore River,0,0,0,0,2020,Male
Singapore River,0,0,0,0,2020,Female
Straits View,0,0,0,0,2020,Male
Straits View,0,0,0,0,2020,Female
