planning_area,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_over,total,gender,year
Marina East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Total,2015
Marina East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2015
Marina South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Total,2015
Marina South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2015
Marina South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2015
Museum,10,10,0,10,0,0,20,30,30,10,30,10,10,10,0,0,10,10,190,Male,2015
Museum,20,20,10,10,20,10,40,60,50,30,40,20,20,10,10,0,10,10,380,Total,2015
Museum,10,10,10,10,10,10,20,30,20,20,20,10,10,0,0,0,0,0,190,Female,2015
Newton,300,470,330,330,340,340,400,580,740,660,610,470,430,360,180,160,120,110,6920,Total,2015
Newton,150,260,170,150,120,120,150,230,340,330,300,230,230,190,90,70,60,50,3240,Male,2015
Newton,160,210,160,180,220,220,250,340,400,330,310,240,200,180,90,90,60,60,3680,Female,2015
Orchard,10,30,20,10,10,30,30,30,40,40,40,40,40,30,20,10,0,10,430,Male,2015
Orchard,20,30,20,20,20,30,40,50,50,40,30,40,30,40,10,10,0,10,500,Female,2015
Orchard,40,60,40,30,30,50,60,70,90,80,70,80,70,70,30,20,10,20,920,Total,2015
Outram,1290,1080,710,750,830,1160,1680,2140,1730,1470,1590,1650,1590,1470,930,850,550,610,22080,Total,2015
Outram,690,550,350,350,430,610,890,1100,800,710,680,740,750,710,460,450,300,410,10980,Female,2015
Outram,600,530,350,400,400,560,780,1040,930,770,910,910,840,760,470,400,240,210,11100,Male,2015
Kallang,4340,4440,4480,4750,5120,6120,7250,8260,8610,7770,7820,7840,7060,6100,3910,3400,2130,1810,101210,Total,2015
Kallang,2220,2250,2320,2420,2550,2980,3370,3980,4290,4040,4130,4160,3610,3030,1880,1590,920,690,50410,Male,2015
Kallang,2120,2200,2160,2330,2580,3150,3880,4280,4320,3740,3690,3680,3450,3070,2030,1810,1210,1120,50800,Female,2015
Lim Chu Kang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2015
Lim Chu Kang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2015
Lim Chu Kang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,Total,2015
Mandai,50,50,70,80,60,70,70,70,90,80,80,70,50,40,30,20,10,10,1000,Male,2015
